heterozygosity, FROH, species
0.8701241366272119, 0.03332598671294651, Physogyra lichtensteini
0.5822769286725598, 0.2778187985994873, Hydnophora rigida
0.27883894070106907, 0.8858701115102923, Hydnophora rigida
0.18591123209017923, 0.4151634001267682, Hydnophora rigida
0.4111001279251132, 0.08573680789403415, Seriatopora
0.11737554713471554, 0.7767036501380845, Seriatopora
0.684968744374135, 0.7926768633232321, Hydnophora rigida
0.4376110596596504, 0.0856503934257068, Physogyra lichtensteini
0.5562293251719702, 0.6356138534284019, Hydnophora rigida
0.3670803216193239, 0.8320989669257657, Hydnophora rigida
0.40236572881420285, 0.43498034834463983, Hydnophora rigida
0.11304070069439631, 0.33954823561040626, Favites
0.44703084626748935, 0.2755320489151346, Unknown
0.5854451165110357, 0.5804209453900548, Physogyra lichtensteini
0.16198510384493825, 0.38746025236854553, Hydnophora rigida
0.5207187880526836, 0.31853734484467777, Hydnophora rigida
0.3260511261378255, 0.38135444532829454, Hydnophora rigida
0.699186237944441, 0.6742604547632023, Hydnophora rigida
0.36639454891628365, 0.9219008991281623, Physogyra lichtensteini
0.8363745082660552, 0.5695783781701181, Pachyseris
0.48134294324751736, 0.24055027240858418, Hydnophora rigida
0.516502297991861, 0.8604495255492638, Hydnophora rigida
0.38304812816936906, 0.5659298367851973, Hydnophora rigida
0.9975408958775808, 0.43848026046125654, Physogyra lichtensteini
0.5142444882517789, 0.41414835499010916, Seriatopora
0.5590532743284707, 0.5570003830031778, Seriatopora
0.03444976810857148, 0.6017227524847211, Hydnophora rigida
0.7199300263673346, 0.7045159112588912, Hydnophora rigida
0.42100354760724235, 0.9651708607437056, Physogyra lichtensteini
0.43693512529224887, 0.5912049385206852, Hydnophora rigida
0.28170075378898063, 0.786954962208609, Physogyra lichtensteini
0.9002743380567129, 0.5411522179532172, Hydnophora rigida
0.669612278107202, 0.8821115321582875, Physogyra lichtensteini
0.4560687504885217, 0.09653376842276828, Physogyra lichtensteini
0.28980434477223604, 0.8899750271601443, Physogyra lichtensteini
0.5258189634647219, 0.7981632170687791, Hydnophora rigida
0.5592420615015617, 0.31983243673991435, Hydnophora rigida
0.7452838317804862, 0.5629867732516308, Seriatopora
0.8283462535733034, 0.974245527806898, Physogyra lichtensteini
0.8236944519250492, 0.7112395964254072, Hydnophora rigida
0.07714031987919201, 0.1871164469165485, Pachyseris
0.6448620703608028, 0.19568854418176151, Hydnophora rigida
0.30925758563654715, 0.6218499112245951, Seriatopora
0.524253715876378, 0.9894567066622711, Hydnophora rigida
0.9580923375341418, 0.6809651061397693, Physogyra lichtensteini
0.8832009558840542, 0.3867341979247195, Hydnophora rigida
0.29543189013568993, 0.3190286471391831, Hydnophora rigida
0.5123759884616795, 0.9738167576412041, Favites
0.08870241768428277, 0.1413884178134538, Seriatopora
0.64171673108783, 0.5749410276402661, Hydnophora rigida
0.13242055371161865, 0.046766521588175736, Hydnophora rigida
0.7664858145798341, 0.06172746084912761, Hydnophora rigida
0.07674224020171683, 0.8387420712589254, Favites
0.3310438226975936, 0.21611468797485534, Seriatopora
0.6798515871831774, 0.022658906476317076, Unknown
0.5092130794607137, 0.389839949784056, Seriatopora
0.6551461402465864, 0.20341307215019733, Hydnophora rigida
0.6021203578124608, 0.08239577223105099, Hydnophora rigida
0.7190545575486664, 0.5164005342953798, Hydnophora rigida
0.4152192354183156, 0.8275701418109567, Hydnophora rigida
0.39654162919866054, 0.46002657737948427, Seriatopora
0.8251389638581726, 0.6584361092999677, Physogyra lichtensteini
0.7125517536588033, 0.4779542900266758, Pachyseris
0.09793715214676801, 0.974057699426869, Unknown
0.8421542585708816, 0.8919979296826661, Hydnophora rigida
0.44082108768959904, 0.6115917789877748, Favites
0.3739892442679148, 0.5887965281369966, Seriatopora
0.9136758197147565, 0.7386961486031781, Hydnophora rigida
0.5477780167591131, 0.10862861975130955, Physogyra lichtensteini
0.2519372628606047, 0.42203524721492225, Pachyseris
0.027473941374380195, 0.058626077270684473, Hydnophora rigida
0.20625729961374029, 0.8592198140815095, Hydnophora rigida
0.5908853614775331, 0.6502947561688514, Hydnophora rigida
0.16365152801194183, 0.3622723865354901, Favites
0.8369281639209688, 0.7501814639136638, Favites
0.7752031711315356, 0.5931059956758318, Hydnophora rigida
0.1690414563978564, 0.43279881375286267, Seriatopora
0.7669943292836144, 0.8386094196136554, Hydnophora rigida
0.335365849068224, 0.81519842989202, Unknown
0.47239795478750024, 0.5882416661054632, Hydnophora rigida
0.21506437107336818, 0.2871374730551952, Pachyseris
